geo,geo.type,geo.description,date,mdri.log.diff,mdri.cum
US,Country,US,2018-04-19,0.0483901880384587,0.301186767347094
US,Country,US,2018-04-20,-0.1770420466263,0.124144720720794
US,Country,US,2018-04-21,-0.0580995303743184,0.0660451903464754
US,Country,US,2018-04-22,0.128798242958328,0.194843433304803
US,Country,US,2018-04-23,0.113790431113185,0.308633864417989
US,Country,US,2018-04-24,-0.0253898641335306,0.283244000284458
US,Country,US,2018-04-25,-0.076418647150442,0.206825353134016
US,Country,US,2018-04-26,-0.0463889892388624,0.160436363895154
US,Country,US,2018-04-27,-0.0535538410903744,0.106882522804779
US,Country,US,2018-04-28,0.0031251870387884,0.110007709843568
US,Country,US,2018-04-29,0.0641833872186203,0.174191097062188
US,Country,US,2018-04-30,0.144913174553006,0.319104271615194
US,Country,US,2018-05-02,-0.0232846090669723,0.295819662548222
US,Country,US,2018-05-03,0.0037374836778928,0.299557146226114
US,Country,US,2018-05-04,0.0312564016623697,0.330813547888484
US,Country,US,2018-05-05,-0.182414087649635,0.148399460238849
US,Country,US,2018-05-06,0.065837487399911,0.21423694763876
US,Country,US,2018-05-07,0.186056922925584,0.400293870564344
US,Country,US,2018-05-08,-0.112182453211727,0.288111417352617
US,Country,US,2018-05-09,-0.0122785866174736,0.275832830735143
US,Country,US,2018-05-10,-0.0113958563949709,0.264436974340172
US,Country,US,2018-05-11,-0.134440656051007,0.129996318289165
US,Country,US,2018-05-12,-0.0866428671046523,0.0433534511845131
US,Country,US,2018-05-13,0.0455040069208869,0.0888574581054
US,Country,US,2018-05-14,0.134206718658645,0.223064176764045
US,Country,US,2018-05-15,0.0691823439065485,0.292246520670593
US,Country,US,2018-05-16,-0.108859094524446,0.183387426146147
US,Country,US,2018-05-17,-0.0256655662505691,0.157721859895578
US,Country,US,2018-05-18,-0.0845110094272964,0.0732108504682812
US,Country,US,2018-05-19,-0.0718686535183212,0.00134219694995996
US,Country,US,2018-05-20,0.254863906526755,0.256206103476715
US,Country,US,2018-05-21,-0.0372293521886663,0.218976751288049
US,Country,US,2018-05-22,0.0166675348036117,0.23564428609166
US,Country,US,2018-05-23,-0.00822826547551523,0.227416020616145
US,Country,US,2018-05-24,-0.0490815341999315,0.178334486416214
US,Country,US,2018-05-25,-0.140149097410356,0.038185389005858
US,Country,US,2018-05-26,0.0590166280041198,0.0972020170099778
US,Country,US,2018-05-27,0.202471253005269,0.299673270015247
US,Country,US,2018-05-28,-0.031195842164293,0.268477427850954
US,Country,US,2018-05-29,0.102812650383514,0.371290078234468
US,Country,US,2018-05-30,-0.0441598090748456,0.327130269159622
US,Country,US,2018-05-31,0.0364398407404801,0.363570109900102
US,Country,US,2018-06-02,0.0234450325881562,0.387015142488259
